,Arithmancy,Astronomy,Herbology,Defense Against the Dark Arts,Divination,Muggle Studies,Ancient Runes,History of Magic,Transfiguration,Potions,Care of Magical Creatures,Charms,Flying

Gryffindor,0.10780960748353725,1.160223056199419,-1.6794526671193248,0.5520212236303168,0.5007819087850752,-0.15245406652443885,1.237365783567577,-1.0394313813374692,-1.5934826260900832,-0.21377701318180428,-0.08877111600055007,-0.5936163479620719,1.8256767596350842

Hufflepuff,0.30870907675169956,1.9770645921201557,1.3172538195083883,-0.45014635604021963,0.5852690856848376,-0.4548725183299354,-1.6401119536068902,0.6925956380846949,0.6960359209872585,-0.16758210729543663,0.09785113712403976,-0.19141831452089123,-0.20398202299451293

Ravenclaw,0.49899786014914727,-0.44595040460297214,0.48710006845510884,1.432091202949716,0.3973182159192392,2.656624648404359,1.4483815889942635,0.7240197141199634,0.8310043842467916,-0.2720257475427672,-0.018532996769553927,1.014676825162518,0.7794108421080191

Slytherin,-0.0048766673535183625,-1.0755798304681545,-1.957503596360235,1.552640255688236,-3.705381094105626,-0.07278801648433515,-1.669294166916367,-0.2975749040363499,1.5584521904426671,1.057826572190349,-0.014641877764813769,-2.0084503440894834,-0.15732765713253932

